name	registration_no
MES ENGINEERING	PV00206627
MESAS INTERNATIONAL	PV2745
MESAYA LANKA	PV17092
MESCO SUPER	PV00281099
MESDA PUBLICATIONS	PV106203
MESH FUND	PV00215555
MESH MART	PV78299
MESH TECH	
MESHANTH	PV00285804
MESHAUN	PV00249259
MESHAUN JOURNEYS	PV00295629
MESHAUN MEDIA	PV00294716
MESHGROUND	GL00253662
MESIAH PRAWN FARM	PV121678
MESK FOODSTUFF LANKA	PV00260657
MESMERIC GIZMO	PV119339
MESMERIZE GEMS	PV00274976
MESO GLOBAL	PV00261796
MESSENGER PROPERTY DEVELOPERS	PV105712
MESSENGERS APARTMENTS	PV503
MESSIAH ACADEMY OF LANGUAGE SKILLS AND DRAMATIC ARTS	
MESSIAH COMPANY	PV111583
MESSIAH MISSION COLLEGE	PV00257697
MESTYA INDUSTRIES	PV14023
MESUKIMA LANKA	PV60275
MESUKIMA LANKA TRAVELS & TOURS	PV128351
