name	registration_no
GOVER HOROWITZ & BLUNT	F337
GOVERNANCE CONSULTANTS	PV00265694
GOVERNERS CORPORATE SERVICES	PV62074
GOVERNERS INTERIORS CEYLON	PV21799
GOVERNOR DESIGN GARMENT	PV127344
GOVERNOR SHIRTS	PV111664
GOVERNOR'S MANOR	PV00240244
GOVERNORS APPAREL SOURCING	PV60475
GOVERNORS CAMP	PV61048
GOVERNORS CONSTRUCTIONS CEYLON	PV20921
GOVERNORS HEALTH CARE	PV60453
GOVERNORS HOTELS	PV74191
GOVERNORS INTERNATIONAL	PV00219499
GOVERS ASSOCIATES	PV94411
GOVI GEDARA	PV11136
GOVI GNANA SAVI	GA2154
GOVI MITHURO	PV00241687
GOVI NIPAYUM ALEVI SANVIDHANAYA	
GOVI NISHPADANA ALEVI SANVIDHANAYA	GA529
GOVI PIYASA	PV00249300
GOVI SAVIYA AGRO MANAGEMENT LANKA	PV105634
GOVI TRADING COMPANY	PV00255693
GOVIBIMA AGRIBUSINESSES	PV00236279
GOVIBIMA LANKA	PV00229352
GOVIHIRU PLANTATTION	PV61305
GOVIJANA AGRO SERVICE	PV00223787
GOVIKAMA FARMS	PV00225849
GOVISALA AGRI FOODS	PV104003
GOVISH CEYLON	PV00231202
GOVIYA TRADERS	PV72980
