name	registration_no
ORB CONSTRUCTIONS	PV00254331
ORB LOGISTICS	PV00226015
ORB TOUCH  C C	PV00212061
ORBIT 7 SOFTWARE SOLUTIONS	PV97496
ORBIT CARGO	PV13233
ORBIT CARGO MANAGEMENT	PV00230706
ORBIT CONNECT	PV00260838
ORBIT CONSOLIDATED	PV90705
ORBIT CONSTRUCTIONS	PV83312
ORBIT CONTROL SYSTEMS	PV00221720
ORBIT FAST TRACK INDUSTRIAL SOLUTIONS	PV00257658
ORBIT FIRST TRAVELS	PV98183
ORBIT HOLDINGS	PV00220783
ORBIT INTERNATIONAL	PV8590
ORBIT INTERNATIONAL LANGUAGE AND TECH ACADEMY	PV00220072
ORBIT LANKA	PV69097
ORBIT MOTO DISTRIBUTORS	PV00282856
ORBIT OVERSEAS	PV00276601
ORBIT TOURS AND TRAVELS	PV83445
ORBIT TRADE LANKA	
ORBIT WORLD INTERNATIONAL	PV00241702
ORBITECH	PV90123
ORBITEYE TECHNO	PV72194
ORBITO CEYLON	PV00296388
ORBITON ECO	PV00289117
