name	registration_no
ESPACE INTERNATIONAL	PV97510
ESPACE LANKA	PV127393
ESPALIER FUTURES	PB1652
ESPECIA CEYLON	PV96868
ESPECK ENGINEERING	PV00218772
ESPEE DIAGNOSTIC LABORATORIES	PV6310
ESPEE MARKETING	PV86804
ESPERANCE ORGANIZATION	PV107573
ESPERTO	PV00260219
ESPIREON	PV00224329
ESPLANADE ESTATES AND HOLDINGS	PV1769
ESPLENDIDO	PV00278761
ESPO LANKA GROUP	GA27
ESPOIR ASIA HOLDING COMPANY	PV130773
ESPRET MIGRATION	PV00212208
ESPRIT D''ICI HOTEL	PV88386
ESPRIT D'ICI HOTEL	PV88386
ESPY  & LLOYDS INTERNATIONAL	PV00249157
