name	registration_no
NEC BUSINESS COORDINATION CENTRE (SINGAPORE)	NF213
NEC HOLDINGS LANKA	PV95750
NEC INTERNATIONAL	PV00201801
NEC PHARMA	PV67279
NECK HOLDINGS	PV00250445
NECMART	PV00289199
NECO AROMA LANKA	PV107145
NECO CARGO SERVICES	PV89946
NECO ENGINEERING	PV68270
NECO GROUP	PV88185
NECO TECHNOLOGY LANKA	PV80280
NECO TRADING	PV107702
NECORD CONSTRUCTI AND CONSULTANTS	PV73847
NECROSSE	PV99259
NECS ENGINEERING CREATIONS AND SERVICES	PV00268137
NECTA MARKETING	PV61405
NECTAR APPARELS	PV00205405
NECTARINE	PV85497
